SOURCE	TARGET
خالد	خالد
:	،
اممممممممممممممممم	
اذا	اذا
بتروحووون	بتروحون
العصر	العصر
الساعه	الساعة
٢	2
اوكي	اوكيه
ماعندي	ما عندي
مانع	مانع
	بس
لاتتأخرون	لا تتأخرون
و كلمو	وكلمو
احمد	أحمد
هالمر ة	هذه المرة
لوسمحتم	لو سمحتم
	.

لابد	لا بد
من	من
إستخدام	استخدام
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
بحكمه	بحكمة
ف لها	فلها
اثار	آثار
منها	
سلبية	سلبية
وايجابيه	وإيجابية

لابد	لا بد
من	من
إستخدام	استخدام
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
بحكمه	بحكمة
ف لها	فلها
اثار	آثار
منها	
ايجابيه	
و	
سلبية	سلبية
	وإيجابية

ل وسائل	لوسائل
التواصل	التواصل
الإجتماعي	الاجتماعي
تاثير	تاثير
	كبير
على	على
الفرد	الفرد
و المجتمع	والمجتمع
	،
ف منها	فمنها
الايجابي	الايجابي
و منها	ومنها
السلبي	السلبي
.	.

لابد	لا بد
من	من
إستخدام	استخدام
وسائل	وسائل
التواصل	التواصل
الإجتماعي	الاجتماعي
بحكمه	بحكمة
	،
ف لها	فلها
اثار	آثار
منها	
سلبية	سلبية
وايجابيه	وإيجابية
	.

