hideCode,Result,Description
U+0600,؀,Number Sign
U+0601,؁,Sign Sanah
U+0602,؂,Footnote Marker
U+0603,؃,Sign Safha
U+0604,؄,Sign Samvat
U+0605,؅,Number Mark Above
U+0606,؆,Arabic-Indic Cube Root
U+0607,؇,Arabic-Indic Fourth Root
U+0608,؈,Ray
U+0609,؉,Arabic-Indic Per Mille Sign
U+060A,؊,Arabic-Indic Per Ten Thousand Sign
U+060B,؋,Afghani Sign
U+060C,،,Comma
U+060D,؍,Date Separator
U+060E,؎,Poetic Verse Sign
U+060F,؏,Sign Misra
U+0610,ؐ,Sign Sallallahou Alayhe Wassallam
U+0611,ؑ,Sign Alayhe Assallam
U+0612,ؒ,Sign Rahmatullah Alayhe
U+0613,ؓ,Sign Radi Allahou Anhu
U+0614,ؔ,Sign Takhallus
U+0615,ؕ,Small High Tah
U+0616,ؖ,Small High Ligature Alef With Lam With Yeh
U+0617,ؗ,Small High Zain
U+0618,ؘ,Small Fatha
U+0619,ؙ,Small Damma
U+061A,ؚ,Small Kasra
U+061B,؛,Semicolon
U+061C,؜,Mark
U+061E,؞,Triple Dot Punctuation Mark
U+061F,؟,Question Mark
U+0620,ؠ,Kashmiri Yeh
U+0621,ء,Hamza
U+0622,آ,Alef With Madda Above
U+0623,أ,Alef With Hamza Above
U+0624,ؤ,Waw With Hamza Above
U+0625,إ,Alef With Hamza Below
U+0626,ئ,Yeh With Hamza Above
U+0627,ا,Alef
U+0628,ب,Beh
U+0629,ة,Teh Marbuta
U+062A,ت,Teh
U+062B,ث,Theh
U+062C,ج,Jeem
U+062D,ح,Hah
U+062E,خ,Khah
U+062F,د,Dal
U+0630,ذ,Thal
U+0631,ر,Reh
U+0632,ز,Zain
U+0633,س,Seen
U+0634,ش,Sheen
U+0635,ص,Sad
U+0636,ض,Dad
U+0637,ط,Tah
U+0638,ظ,Zah
U+0639,ع,Ain
U+063A,غ,Ghain
U+063B,ػ,Keheh With Two Dots Above
U+063C,ؼ,Keheh With Three Dots Below
U+063D,ؽ,Farsi Yeh With Inverted V
U+063E,ؾ,Farsi Yeh With Two Dots Above
U+063F,ؿ,Farsi Yeh With Three Dots Above
U+0640,ـ,Tatweel
U+0641,ف,Feh
U+0642,ق,Qaf
U+0643,ك,Kaf
U+0644,ل,Lam
U+0645,م,Meem
U+0646,ن,Noon
U+0647,ه,Heh
U+0648,و,Waw
U+0649,ى,Alef Maksura
U+064A,ي,Yeh
U+064B,ً,Fathatan
U+064C,ٌ,Dammatan
U+064D,ٍ,Kasratan
U+064E,َ,Fatha
U+064F,ُ,Damma
U+0650,ِ,Kasra
U+0651,ّ,Shadda
U+0652,ْ,Sukun
U+0653,ٓ,Maddah Above
U+0654,ٔ,Hamza Above
U+0655,ٕ,Hamza Below
U+0656,ٖ,Subscript Alef
U+0657,ٗ,Inverted Damma
U+0658,٘,Mark Noon Ghunna
U+0659,ٙ,Zwarakay
U+065A,ٚ,Vowel Sign Small V Above
U+065B,ٛ,Vowel Sign Inverted Small V Above
U+065C,ٜ,Vowel Sign Dot Below
U+065D,ٝ,Reversed Damma
U+065E,ٞ,Fatha With Two Dots
U+065F,ٟ,Wavy Hamza Below
U+0660,٠,Arabic-Indic Digit Zero
U+0661,١,Arabic-Indic Digit One
U+0662,٢,Arabic-Indic Digit Two
U+0663,٣,Arabic-Indic Digit Three
U+0664,٤,Arabic-Indic Digit Four
U+0665,٥,Arabic-Indic Digit Five
U+0666,٦,Arabic-Indic Digit Six
U+0667,٧,Arabic-Indic Digit Seven
U+0668,٨,Arabic-Indic Digit Eight
U+0669,٩,Arabic-Indic Digit Nine
