CLASS	PRECISION	RECALL	F1-Score	SUPPORT
OH	0.9473164956590371	0.9443351691581432	0.9458234830575256	5084
OT	0.9317851959361393	0.8746594005449592	0.9023190442726634	734
OA	0.7388724035608308	0.8989169675090253	0.8110749185667752	277
OW	0.8939393939393939	0.5514018691588785	0.6820809248554912	107
ON	0.0	0.0	0.0	0
OG	0.8125	0.37142857142857144	0.5098039215686275	35
OC	0.3333333333333333	0.09090909090909091	0.14285714285714288	22
OR	0.6964285714285714	0.4823321554770318	0.569937369519833	566
OD	0.7051282051282052	0.3216374269005848	0.44176706827309237	342
OM	0.6330275229357798	0.32167832167832167	0.4265842349304482	429
OO	0.0	0.0	0.0	0
MI	0.5	0.2054794520547945	0.29126213592233013	73
MT	0.0	0.0	0.0	6
XC	0.6779661016949152	0.14414414414414414	0.23774145616641904	555
XF	0.5	0.04878048780487805	0.08888888888888888	41
XG	0.07142857142857142	0.018867924528301886	0.029850746268656716	53
XN	0.4791666666666667	0.14838709677419354	0.22660098522167488	155
XT	0.3888888888888889	0.2	0.2641509433962264	70
XM	0.0	0.0	0.0	26
XO	0.0	0.0	0.0	0
SW	0.717948717948718	0.31343283582089554	0.43636363636363645	268
SF	0.0	0.0	0.0	8
PC	0.36333333333333334	0.4586255259467041	0.4054556726596404	713
PT	0.26666666666666666	0.6583333333333333	0.37957957957957955	480
PM	0.534348239771646	0.4982256919801277	0.5156551280874117	5636
MG	0.7677261613691931	0.7235023041474654	0.7449584816132859	434
SP	0.9628610729023384	0.8695652173913043	0.9138381201044385	805

micro avg	0.6922203293583191	0.6484425793486612	0.66961669921875	16919
macro avg	0.4786172423182307	0.33869048098854626	0.3691331067471773	16919
weighted avg	0.7081375083263324	0.6484425793486612	0.6626659442778541	16919
