CLASS	PRECISION	RECALL	F1-Score	SUPPORT
OH	0.9	1.0	0.9473684210526316	9
OT	1.0	0.8888888888888888	0.9411764705882353	9
OA	0.0	0.0	0.0	0
OW	0.0	0.0	0.0	0
ON	0.0	0.0	0.0	0
OG	0.0	0.0	0.0	0
OC	0.0	0.0	0.0	0
OR	0.0	0.0	0.0	0
OD	0.0	0.0	0.0	0
OM	1.0	1.0	1.0	1
OO	0.0	0.0	0.0	0
MI	0.0	0.0	0.0	0
MT	0.0	0.0	0.0	0
XC	0.0	0.0	0.0	1
XF	0.0	0.0	0.0	0
XG	0.0	0.0	0.0	0
XN	0.0	0.0	0.0	0
XT	0.0	0.0	0.0	0
XM	0.0	0.0	0.0	0
XO	0.0	0.0	0.0	0
SW	0.0	0.0	0.0	0
SF	0.0	0.0	0.0	0
PC	0.0	0.0	0.0	1
PT	0.0	0.0	0.0	0
PM	0.42857142857142855	1.0	0.6	3
MG	0.0	0.0	0.0	0
SP	0.0	0.0	0.0	1

micro avg	0.7777777777777778	0.84	0.8076923076923077	25
macro avg	0.12328042328042327	0.1440329218106996	0.12920536635706914	25
weighted avg	0.7754285714285715	0.84	0.7918761609907121	25
PRC Score	0.8333333333333334
