SOURCE	TARGET
سبحان	سبحان	UC
الله	الله	UC
	،	INSERT_PM
الحكام	الحكام	UC
العرب	العرب	UC
سيموت	سيموت	UC
على	على	UC
الكرسي	الكرسي	UC
ليضهر	ليظهر	REPLACE_OR
أنه	أنه	UC
عنيد	عنيد	UC
وقوي	وقوي	UC
،	.	REPLACE_PC
لوكان	لو كان	SPLIT
بشار	بشار	UC
يحب	يحب	UC
أرضه	أرضه	UC
أو	أو	UC
شعبه	شعبه	UC
لخرج	لخرج	UC
من	من	UC
الحكم	الحكم	UC
شفقة	شفقة	UC
ورحمة	ورحمة	UC
ببلد	ببلد	UC
ضاع	ضاع	UC
،	.	REPLACE_PC
هنا	هنا	UC
زال	زال	UC
قناع	قناع	UC
هذا	هذا	UC
الرئيس	الرئيس	UC
اللذي	الذي	REPLACE_OD
خيب	خيب	UC
ظن	ظن	UC
شعبه	شعبه	UC
والشعوب	والشعوب	UC
المسلمة	المسلمة	UC
،	،	UC
كل	كل	UC
مال	مال	UC
السورين	السورين	UC
نفق	نفق	UC
في	في	UC
شراء	شراء	UC
سلاح	سلاح	UC
ليقتل	ليقتل	UC
به	به	UC
،	،	UC
شتانا	شتانا	UC
وحكام	وحكام	UC
أوربا	أوربا	UC
الذين	الذين	UC
يتركون	يتركون	UC
الكرسي	الكرسي	UC
لمجرد	لمجرد	UC
فتنة	فتنة	UC
بسيطة	بسيطة	UC
لحبهم	لحبهم	UC
لبلدهم	لبلدهم	UC
	!	INSERT_PM

النصر	النصر	UC
آت	آت	UC
لا	لا	UC
محال	محال	UC
انشاء	انشاء	UC
الله	الله	UC
من	من	UC
يؤمن	يؤمن	UC
بالله	بالله	UC
واليوم	واليوم	UC
الآخر	الآخر	UC
.	.	UC
والمطلع	والمطلع	UC
على	على	UC
قصص	قصص	UC
الانبياء	الانبياء	UC
يرى	يرى	UC
ان	ان	UC
النصر	النصر	UC
من	من	UC
الله	الله	UC
وعلامات	وعلامات	UC
ألقيامه	ألقيامه	UC
آتيه	آتيه	UC
في	في	UC
تسلسل	تسلسل	UC
عجيب	عجيب	UC
.	.	UC
إن	إن	UC
تنصر	تنصر	UC
الله	الله	UC
ينصركم	ينصركم	UC
لا	لا	UC
رجوع	رجوع	UC
انما	انما	UC
التغيير	التغيير	UC
آت	آت	UC
ليس	ليس	UC
من	من	UC
الرءساء	الرءساء	UC
أنما	أنما	UC
من	من	UC
فوق	فوق	UC
سابع	سابع	UC
سماء	سماء	UC

الى	الى	UC
كل	كل	UC
شخص	شخص	UC
يعتقد	يعتقد	UC
ان	ان	UC
بشار	بشار	UC
الاسد	الاسد	UC
سوف	سوف	UC
يخرج	يخرج	UC
من	من	UC
سوريا	سوريا	UC
بدون	بدون	UC
محكمه	محكمه	UC
فهوا	فهوا	UC
وهم	وهم	UC
ان	ان	UC
بشار	بشار	UC
الاسد	الاسد	UC
قتل	قتل	UC
الشعب	الشعب	UC
سوري	سوري	UC
واقول	واقول	UC
لكل	لكل	UC
شحص	شحص	UC
سوري	سوري	UC
او	او	UC
غير	غير	UC
سوري	سوري	UC
ان	ان	UC
بشار	بشار	UC
وطغمتهو	وطغمتهو	UC
عثو	عثو	UC
فساد	فساد	UC
في	في	UC
سوريا	سوريا	UC
48	48	UC
عام	عام	UC
يكفي	يكفي	UC
ولاسلام	ولاسلام	UC
اي	اي	UC
الاسد	الاسد	UC
حكمات	حكمات	UC
فافنيت	فافنيت	UC
بلاد	بلاد	UC
وخيران	وخيران	UC
اقول	اقول	UC
لكل	لكل	UC
شخص	شخص	UC
من	من	UC
الامن	الامن	UC
وجيش	وجيش	UC
اتقي	اتقي	UC
لله	لله	UC
في	في	UC
الشعب	الشعب	UC
سوري	سوري	UC
البطل	البطل	UC

الأسد	الأسد	UC
وعصابته	وعصابته	UC
لحد	لحد	UC
الآن	الآن	UC
غير	غير	UC
مستوعبين	مستوعبين	UC
إن و	أنه	UNK
رح	رح	UC
ينقلعوا	ينقلعوا	UC
من	من	UC
فوق	فوق	UC
رقاب	رقاب	UC
الشعب	الشعب	UC
السوري	السوري	UC
.	.	UC
.	.	UC
.	.	UC
يعني	يعني	UC
لس	لس	UC
ع	ع	UC
راكبه	راكبه	UC
براسون	براسون	UC
إنو	أن	REPLACE_SW
هالشعب	هذا الشعب	REPLACE_X
قطيع	قطيع	UC
غنم	غنم	UC
مابيحل	ما يحل	REPLACE_X
ولا	ولا	UC
بيربط	يربط	REPLACE_OD
ونهايتو	ونهايته	REPLACE_OR
الدبح	الدبح	UC
!	!	UC
تماما	تماما	UC
كالقذافي	كالقذافي	UC
ومن	ومن	UC
أثر	أثر	UC
الصدمة	الصدمة	UC
بدأت	بدأت	UC
التصر فات	الإنتصارات	REPLACE_X
العنيفة	العنيفة	UC
بالقتل	بالقتل	UC
	،	INSERT_PM
والإعتقال	والاعتقال	REPLACE_OH
	،	INSERT_PM
والتعذيب	والتعذيب	UC
.	.	UC
.	.	UC
أعتقد	أعتقد	UC
بأن	بأن	UC
الكثيرين	الكثيرين	UC
سوف	سوف	UC
لن	لن	UC
يفيقوا	يفيقوا	UC
من	من	UC
الصدمة	الصدمة	UC
أبدا	أبدا	UC
لأنهم	لأنهم	UC
سيلحقوا	سيلحقوا	UC
بشهائنا	بأرواحنا	REPLACE_SW
بإذن	بإذن	UC
الرب	الرب	UC
.	.	UC

النظام	النظام	UC
الأسدي	الأسدي	UC
تجاوز	تجاوز	UC
حتى	حتى	UC
ما	ما	UC
فعله	فعله	UC
معمر	معمر	UC
القذافي	القذافي	UC
في	في	UC
ليبيا	ليبيا	UC
؛	؛	UC
فهناك	فهناك	UC
كانت	كانت	UC
المعركة	المعركة	UC
مختلفة	مختلفة	UC
؛	،	REPLACE_PC
حيث	حيث	UC
وقعت	وقعت	UC
بين	بين	UC
طرفين	طرفين	UC
:	:	UC
نظام	نظام	UC
العقيد	العقيد	UC
والثوار	والثوار	UC
،	،	UC
وكلاهما	وكلاهما	UC
يحمل	يحمل	UC
السلاح	السلاح	UC
بوجه	بوجه	UC
الآخر	الآخر	UC
:	،	REPLACE_PC
الدبابة	الدبابة	UC
مقابل	مقابل	UC
الدبابة	الدبابة	UC
،	،	UC
والرشاش	والرشاش	UC
مقابل	مقابل	UC
الرشاش	الرشاش	UC
.	.	UC
.	.	UC
بينما	بينما	UC
العكس	العكس	UC
تماما	تماما	UC
في	في	UC
سوريا	سوريا	UC
؛	؛	UC
حيث	حيث	UC
إن	إن	UC
النظام	النظام	UC
الأسدي	الأسدى	REPLACE_OA
هو	هو	UC
من	من	UC
يحمل	يحمل	UC
السلاح	السلاح	UC
،	،	UC
وهو	وهو	UC
من	من	UC
يعربد	يعربد	UC
به	به	UC
،	،	UC
بينما	بينما	UC
الثوار	الثوار	UC
السوريون	السوريون	UC
مسالمون	مسالمون	UC
	.	INSERT_PM

سوريا	سوريا	UC
أما	إما	REPLACE_OH
للسوريين	للسوريين	UC
أو	أو	UC
لبشار	لبشار	UC
وعصابته	وعصابته	UC
	.	INSERT_PM
لن	لن	UC
تنتهي	تنتهي	UC
هذه	هذه	UC
الثوره	الثورة	REPLACE_OT
الا	إلا	REPLACE_OH
بأن	بأن	UC
تبقى	تبقى	UC
سوريا	سوريا	UC
حرة	حرة	UC
	،	INSERT_PM
ليس	ليس	UC
فيها	فيها	UC
مكانا	مكانا	UC
لقتلة	لقتلة	UC
الاطفال	الأطفال	REPLACE_OH
والنساء	والنساء	UC
	.	INSERT_PM
الشعب	الشعب	UC
السوري	السوري	UC
لن	لن	UC
يرضى	يرضى	UC
أن	أن	UC
يحكمه	يحكمه	UC
خائن	خائن	UC
قتل	قتل	UC
أبناء	أبناء	UC
سوريا	سوريا	UC
	.	INSERT_PM
لو	لو	UC
أستمرت	استمرت	REPLACE_OH
الثوره	الثورة	REPLACE_OT
للاجيال	للأجيال	REPLACE_OH
القادمه	القادمة	REPLACE_OT
لن	لن	UC
يخذل	يخذل	UC
الشهداء	الشهداء	UC
	،	INSERT_PM
وسوف	وسوف	UC
تنتصر	تنتصر	UC
الثوره	الثورة	REPLACE_OT
	،	INSERT_PM
وستجر	وستجر	UC
اذيال	أذيال	REPLACE_OH
الخيبه	الخيبه	UC
