SOURCE	TARGET
أكثر	أكثر
من	من
التخصص	تخصص
	.
الحمد	الحمد
لله	لله
الذي	الذي
وفقني	وفقني
لدراسة	لدراسة
شرعية	الشرعية
في	في
جامعة	جامعة
الأمام	الإمام
محمد	محمد
بن	بن
سعود	سعود
الإسلامية	الإسلامية
	،
فأنا	فأنا
الآن	الآن
أدرس	أدرس
في	في
المستوى	المستوى
الثاني	الثاني
من	من
قسم	قسم
اللغة	اللغة
العربية	العربية
والعلوم	والعلوم
الإسلامية	الإسلامية
	،
وأريد	وأريد
الالتحاق	الالتحاق
بكلية	بكلية
الشريعة	الشريعة
	-
أن	إن
شاء	شاء
الله	الله
	-
.	.
واختيار	واختيار
الناس	الناس
لهذه	لهذه
الكلية	الكلية
قد	قد
تختلف	يختلف
من	من
شخص	شخص
إلى	إلى
آخر	آخر
.	،
قد	قد
يختار	يختارها
البعض	البعض
من	من
آجل	أجل
وظيفة	وظيفة
يحصل	يحصل
عليها	عليها
بعد	بعد
انتهاء	انتهائه
	من
الكلية	الكلية
	،
والبعض	والبعض
الآخر	الآخر
يختار	يختار
هذه	هذه
الكلية	الكلية
	؛
لأن	لأن
والديه	والديه
يريدان	يريدان
ذلك	ذلك
	،
والآخر	والآخر
يختار	يختارها
لحفظ	لحفظ
دين	دين
الله	الله
وشريعته	وشريعته
.	،
فأرجو	فأرجو
أن	أن
يوفقنا	يوفقنا
	الله
لأفضل	لأفضل
الاختيار	اختيار
و	،
وإخلاص	وإخلاص
النية	النية
له	له
	،
والعمل	وللعمل
الصالح	الصالح
.	.
وأختار	واخترت
هذه	هذه
الكلية	الكلية
كي	كي
أتعلم	أتعلم
ديني	ديني
الذي	الذي
هو	هو
لحمي	لحمي
ودمي	ودمي
.	.
والعلم	وهذا العلم
معروف	معروف
شأنه	شأنه
في	في
كتاب	كتاب
الله	الله
وسنة	وسنة
رسوله	رسوله
	-
صلى	صلى
الله	الله
عليه	عليه
وسلم	وسلم
.	-
	؛
