SOURCE	TARGET
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
لها	لها
أضرار	أضرار
و فوائد	وفوائد
كثيرة	كثيرة
.	.
ولكن	ولكن
بأن	بان
في	في
الأوان	الآونة
الأخيرة	الأخيرة
أن	أن
مضاره	مضارها
أكبر	أكبر
بكثير	بكثير
من	من
منافعه	منافعها
.	.
فإذا	فإذا
نش	نشأ
الطفل	الطفل
و	
هو بيده	وبيده
هاتفا	هاتف
أو	أو
جهاز	جهاز
إلكترونيا	إلكتروني
ستلاحظ	ستلاحظ
عدم	عدم
قدرته	قدرته
على	على
الاستجابة	الاستجابة
بسرعة	بسرعة
.	.
و أيضا	وأيضا
سوف	سوف
تلاحظ	تلاحظ
عدم	عدم
قدرته	قدرته
على	على
التركيز	التركيز
.	.
و مضار	ومضار
التواصل	التواصل
الاجتماعي	الاجتماعي
لم	لم
يكتفي	تكتف
بالأطفال	بالأطفال
و المراهقين	والمراهقين
فقط	فقط
بل	بل
على جميع	بجميع
الفئات	الفئات
العمريهز	العمرية .
فكم	فكم
من	من
شخص	شخص
قد	قد
رحل	رحل
من	من
هذيه	هذه
الدنيا	الدنيا
بسبب	بسبب
حادث	حادث
سيارة	سيارة
	,
و سببه	وسببه
الهاتف	الهاتف
المتحرك	المتحرك
ليتفقد	ليتفقد
الشخص	الشخص
صفحة	صفحة
على	على
مواقع	مواقع
التواصل	التواصل
الاجتماعي	الاجتماعي
.	.
أيضا	أيضا
مقارنتا	مقارنة
فس ماجلس	بمجالس
الشباب	الشباب
سابقا	سابقا
قبل	قبل
ضهور	ظهور
مواقع	مواقع
التواصل	التواصل
,	,
لرئيت	لرأيت
شباب	شبابا
يضحكون	يضحكون
مع	مع
بعضهم	بعضهم
أو	أو
لربما	لربما
يلعبون	يلعبون
لعبتا	لعبة
ما	ما
,	,
أما	أما
الآن	الآن
فترى	فترى
شباب	شبابا
جالسين	جالسين
جمبهم	جنبهم
الجمب	الجنب
ولا	ولا
يتكلمون	يتكلمون
مع	مع
بعضهم	بعضهم
البعض	البعض
و تراهم	وتراهم
جميعا	جميعا
على	على
مواقع	مواقع
التواصل	التواصل
