SOURCE	TARGET
أكثر	أكثر	UC
من	من	UC
التخصص	تخصص	REPLACE_XF
الحمد	الحمد	UC
لله	لله	UC
الذي	الذي	UC
وفقني	وفقني	UC
لدراسة	لدراسة	UC
شرعية	الشرعية	REPLACE_XF
في	في	UC
جامعة	جامعة	UC
الأمام	الإمام	REPLACE_OH
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الإسلامية	الإسلامية	UC
فأنا	فأنا	UC
الآن	الآن	UC
أدرس	أدرس	UC
في	في	UC
المستوى	المستوى	UC
الثاني	الثاني	UC
من	من	UC
قسم	قسم	UC
اللغة	اللغة	UC
العربية	العربية	UC
والعلوم	والعلوم	UC
الإسلامية	الإسلامية	UC
وأريد	وأريد	UC
الالتحاق	الالتحاق	UC
بكلية	بكلية	UC
الشريعة	الشريعة	UC
أن	إن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
واختيار	واختيار	UC
الناس	الناس	UC
لهذه	لهذه	UC
الكلية	الكلية	UC
قد	قد	UC
تختلف	يختلف	REPLACE_MI
من	من	UC
شخص	شخص	UC
إلى	إلى	UC
آخر	آخر	UC
قد	قد	UC
يختار	يختارها	REPLACE_XM
البعض	البعض	UC
من	من	UC
آجل	أجل	REPLACE_OH
وظيفة	وظيفة	UC
يحصل	يحصل	UC
عليها	عليها	UC
بعد	بعد	UC
انتهاء	انتهائه	REPLACE_XM
	من	INSERT_XM
الكلية	الكلية	UC
والبعض	والبعض	UC
الآخر	الآخر	UC
يختار	يختار	UC
هذه	هذه	UC
الكلية	الكلية	UC
لأن	لأن	UC
والديه	والديه	UC
يريدان	يريدان	UC
ذلك	ذلك	UC
والآخر	والآخر	UC
يختار	يختارها	REPLACE_XM
لحفظ	لحفظ	UC
دين	دين	UC
الله	الله	UC
وشريعته	وشريعته	UC
فأرجو	فأرجو	UC
أن	أن	UC
يوفقنا	يوفقنا	UC
	الله	INSERT_XM
لأفضل	لأفضل	UC
الاختيار	اختيار	REPLACE_XF
و		DELETE_XM
وإخلاص	وإخلاص	UC
النية	النية	UC
له	له	UC
والعمل	وللعمل	REPLACE_XM
الصالح	الصالح	UC
وأختار	واخترت	REPLACE_MT
هذه	هذه	UC
الكلية	الكلية	UC
كي	كي	UC
أتعلم	أتعلم	UC
ديني	ديني	UC
الذي	الذي	UC
هو	هو	UC
لحمي	لحمي	UC
ودمي	ودمي	UC
والعلم	وهذا العلم	REPLACE_X
معروف	معروف	UC
شأنه	شأنه	UC
في	في	UC
كتاب	كتاب	UC
الله	الله	UC
وسنة	وسنة	UC
رسوله	رسوله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
لأن	لأن	UC
	هذا	INSERT_XM
العلم	العلم	UC
يهدي	يهدي	UC
الإنسان	الإنسان	UC
إلى	إلى	UC
الخير	الخير	UC
والتقوى	والتقوى	UC
والعمل	والعمل	UC
الصالح	الصالح	UC
وبهذا	وبهذا	UC
العلم	العلم	UC
أريد	أريد	UC
رفع	رفع	UC
الجهل	الجهل	UC
عن	عن	UC
نفسي	نفسي	UC
وعن	وعن	UC
غيري	غيري	UC
وأكون	وأكون	UC
كالرعيل	كالرعيل	UC
الأول	الأول	UC
من	من	UC
الصحابة	الصحابة	UC
والتابعين	والتابعين	UC
لأن	لأنهم	REPLACE_MI
بالعلم	بالعلم	UC
الشرعي	الشرعي	UC
والعمل	والعمل	UC
الصالح	الصالح	UC
الناتج	الناتج	UC
عنه	عنه	UC
كانوا	كانوا	UC
صالحين	صالحين	UC
في	مع	REPLACE_SW
أنفسهم	أنفسهم	UC
ومصلحين	ومصلحين	UC
لغيرهم	لغيرهم	UC
فهم	فهم	UC
قدوة	قدوة	UC
لنا	لنا	UC
ولذلك	ولذلك	UC
تعلم	تعلم	UC
الشريعة	الشريعة	UC
ليس	ليس	UC
تخصصا	تخصصا	UC
فقط	فقط	UC
بل	بل	UC
هو	هو	UC
أكثر	أكثر	UC
من	من	UC
ذلك	ذلك	UC
لأنه	لأنه	UC
متعلق	متعلق	UC
بدين	بدين	UC
المسلم	المسلم	UC
وسلوكه	وسلوكه	UC
في	في	UC
هذه	هذه	UC
الحياة	الحياة	UC
وسفينة	وهو سفينة	REPLACE_X
نجاته	نجاته	UC

رحلة	رحلة	UC
إلى	إلى	UC
أبها	أبها	UC
قمنا	قمنا	UC
برحلة	برحلة	UC
إلى	إلى	UC
أبها	أبها	UC
كنا	وكنا	REPLACE_MI
تسعة	تسعة	UC
أشخاص	أشخاص	UC
كان	كان	UC
موعد	موعد	UC
تجمعنا	تجمعنا	UC
في	في	UC
ملعلب	ملعب	REPLACE_OD
إسكان	إسكان	UC
الطلاب	الطلاب	UC
الساعة	الساعة	UC
9	9	UC
15	15	UC
وبعد	وبعد	UC
ذلك	ذلك	UC
انطلقنا	انطلقنا	UC
إلى	إلى	UC
المطار	مطار	REPLACE_XF
الملك	الملك	UC
خالد	خالد	UC
بالرياض	بالرياض	UC
عند	عند	UC
وصولنا	وصولنا	UC
في	إلى	REPLACE_SW
المطار	المطار	UC
ركبنا	ركبنا	UC
بطائر	الطائرة	REPLACE_SW
إلى	إلى	UC
أبها	أبها	UC
لما	ولما	REPLACE_MI
وصلنا	وصلنا	UC
في	إلى	REPLACE_SW
أبها	أبها	UC
جاء	جاء	UC
رجلان	رجلان	UC
للاستقبالنا	لاستقبالنا	REPLACE_OD
ثم	ثم	UC
بعد	بعد	UC
السلام	السلام	UC
نقلوانا	نقلوننا	REPLACE_OR
بحافلة	بالحافلة	REPLACE_XF
في	في	UC
طريق	الطريق	REPLACE_XF
إلى	إلى	UC
الفندق	الفندق	UC
	كانت	INSERT_XM
أبها	أبها	UC
فيها	فيها	UC
مناظر	مناظرا	REPLACE_XC
جميلة	جميلة	UC
شهادة	شاهدت	REPLACE_SW
القرون	القرون	UC
في	في	UC
طريق	الطريق	REPLACE_XF
والجبال	والجبال	UC
وذهبنا	وذهبنا	UC
لذيارت	لزيارة	REPLACE_OR+REPLACE_OT
جامعة	جامعة	UC
الملك	الملك	UC
حالد	خالد	REPLACE_OR
الجامعة	الجامعة	UC
مشاء	ما شاء	UNK
الله	الله	UC
جميل	جميلة	REPLACE_XG
جدا	جدا	UC
أشكر	أشكر	UC
عمادة	العمداء	REPLACE_SW
بقيام	لقيامهم	REPLACE_MI
هذه	بهذه	REPLACE_XM
رحلة	الرحلة	REPLACE_XF
جزاهم	جزاهم	UC
الله	الله	UC
خيرا	خيرا	UC

دراستي	دراستي	UC
	في	INSERT_XM
كلية	كلية	UC
أصول	أصول	UC
الدين	الدين	UC
عندي	عندي	UC
رغبة	رغبة	UC
شديدة	شديدة	UC
في	في	UC
دراسة	دراسة	UC
أصول	أصول	UC
الدين	الدين	UC
لأن	لأن	UC
كمبوديا	كمبوديا	UC
هي	هي	UC
دولة	دولة	UC
بوذية	بوذية	UC
وبحاجة	وبحاجة	UC
ماسة	ماسة	UC
إلى	إلى	UC
علم	علم	UC
صحيح	صحيح	UC
في	مع	REPLACE_SW
عقيدة	عقيدة	UC
سلقية	سلفية	REPLACE_OR
وأيضا	وأيضا	UC
في	في	UC
منطقتي	منطقتي	UC
أغلب	أغلب	UC
الشي	الناس	REPLACE_SW
	هم	INSERT_XM
آهل	أهل	REPLACE_OH
صوفيين	صوفية	REPLACE_XG+REPLACE_XN
وأشاعرة	وأشاعرة	UC
وآهل	وأهل	REPLACE_OH
خرفات	خرفات	UC
هؤلاء	هؤلاء	UC
ينشرون	ينشرون	UC
عقيدقهم	عقيدتهم	REPLACE_OR
غير	الغير	REPLACE_XF
صحيحة	صحيحة	UC
إلى	إلى	UC
بعض	بعض	UC
المسلمين	المسلمين	UC
وأريد	وأريد	UC
أن	أن	UC
أرشدهم	أرشدهم	UC
إلى	إلى	UC
عقيدة	عقيدة	UC
سليمة	سليمة	UC
ولكنتي	ولكني	REPLACE_OD
لا	لا	UC
أستطيع	أستطيع	UC
أن	أن	UC
أفعل	أفعل	UC
بذلك	ذلك	REPLACE_XT
لأنني	لأنني	UC
مازلت	مازلت	UC
في	في	UC
معهد	معهد	UC
تعليم	تعليم	UC
اللغة	اللغة	UC
العربية	العربية	UC
ولذلك	ولذلك	UC
أرجو	أرجو	UC
أن	أن	UC
أدرس	أدرس	UC
في	في	UC
هذه	هذه	UC
الكلية	الكلية	UC
الجميلة	الجميلة	UC
بآذن	بإذن	REPLACE_OR
الله	الله	UC
تعالى	تعالى	UC
وصلى	وصلى	UC
الله	الله	UC
على	على	UC
نبينا	نبينا	UC
محمد	محمد	UC
وعلى	وعلى	UC
آله	آله	UC
وصحبة	وصحبه	REPLACE_OT
أحمعين	أجمعين	REPLACE_OR

أحلامي	أحلامي	UC
في	هي	REPLACE_OR
البنك	البنك	UC
الإسلامي	الإسلامي	UC
أنني	إنني	REPLACE_OH
أفضل	أفضل	UC
كلية	كلية	UC
الاقتصاد	الاقتصاد	UC
	على	INSERT_XM
	أن	INSERT_XM
	يكون	INSERT_XM
فيه	فيها	REPLACE_XG
البنك	بنكا	REPLACE_XF
الإسلامي	إسلاميا	REPLACE_XF
لأنني	لأنني	UC
أريد	أريد	UC
	أن	INSERT_XM
	يرى	INSERT_XM
العالم	العالم	UC
أن		DELETE_XM
أنظر		DELETE_XM
عالما	عالما	UC
إسلاميا	إسلاميا	UC
في	في	UC
المستقبل	المستقبل	UC
في	في	UC
الدعوة	الدعوة	UC
الإسلامية	الإسلامية	UC
والشريعة	وفي الشريعة	REPLACE_X
وفي	وفي	UC
أصول	أصول	UC
الدين	الدين	UC
قد	قد	UC
شارك	شارك	UC
كثير	كثير	UC
من	من	UC
الطلاب	الطلاب	UC
والعلماء	والعلماء	UC
أنهم	إنهم	REPLACE_OH
يهتمون	يهتمون	UC
بنشر	بنشر	UC
الإسلام	الإسلام	UC
في	في	UC
أحكامها	أحكامه	REPLACE_MI
وحل	وحل	UC
المشاكل	المشاكل	UC
بين	بين	UC
الناس	الناس	UC
باعتبار	باعتبار	UC
الإسلام	الإسلام	UC
هناك	هناك	UC
يوجد	يوجد	UC
كثير	كثير	UC
من	من	UC
المراكز	المراكز	UC
الإسلام	الإسلامية	REPLACE_OM+REPLACE_XG
لنشر	لنشر	UC
الدعوة	الدعوة	UC
الإسلامية	الإسلامية	UC
للمسلمين	للمسلمين	UC
وغيرهم	وغيرهم	UC
وهذا	وهذا	UC
مجال	مجال	UC
ممتلئ	متوفر	REPLACE_SW
ولا	ولا	UC
سيما	سيما	UC
في	في	UC
بلدنا	بلدنا	UC
سريلانكا	سريلانكا	UC
ولهذا	ولهذا	UC
الآن	الآن	UC
نحتاج	يحتاج	REPLACE_OR
بلدي	بلدي	UC
إلى	إلى	UC
فن	فن	UC
مختلف	مختلف	UC
إسلامي	إسلامي	UC
في	في	UC
الاقتصاد	الاقتصاد	UC
والسياسي	والسياسة	REPLACE_OR
والمهنة	والمهن	REPLACE_XN
وغير	وغير	UC
ذلك	ذلك	UC
من	من	UC
الفنون	الفنون	UC
التي	التي	UC
لا	لا	UC
تعد	تعد	UC
ولا	ولا	UC
تحصى	تحصى	UC
ولهذا	ولهذا	UC
	أنا	INSERT_XM
اخترت	اخترت	UC
أنا		DELETE_XM
البنك	البنك	UC
الإسلامي	الإسلامي	UC
	لأنه	INSERT_XM
مناسبة	مناسب	REPLACE_XG
لبلدنا	لبلدنا	UC
هناك	فهناك	REPLACE_SF
توجد	توجد	UC
كثيرا	كثير	REPLACE_XC
من	من	UC
البنك	البنوك	REPLACE_XN
فيها	فيها	UC
كثيرا	الكثير	REPLACE_XF
من	من	UC
الظلم	الظلم	UC
والربى	والرباء	REPLACE_OH+REPLACE_OM
والخيانة	وخداع	REPLACE_SW
للناس	للناس	UC
أنا	أنا	UC
أتعلم	أتعلم	UC
	من	INSERT_XM
البنك	البنك	UC
الإسلامي	الإسلامي	UC
وأشتغل	وأشتغل	UC
فيه	فيه	UC
دعوة	دعوة	UC
إلى	إلى	UC
الله	الله	UC

الرحلة	رحلة	REPLACE_XF
إلى	إلى	UC
القرية	القرية	UC
لزيارة	لزيارة	UC
ذوي	ذوي	UC
القربى	القربى	UC
أعتدت	اعتدت	REPLACE_OH
الذهاب	الذهاب	UC
إلى	إلى	UC
قريتي	قريتي	UC
في	في	UC
الإجازات	الإجازات	UC
الصيفية	الصيفية	UC
الموجودة	الموجودة	UC
في	في	UC
غرب	غرب	UC
بلدي	بلدي	UC
المسمى	المسمى	UC
ببوركينا	ببوركينا	UC
فاسو	فاسو	UC
تسمى	تسمى	UC
قريتي	قريتي	UC
ساغابتنفا	ساغابتنفا	UC
قمت	قمت	UC
برحلة	برحلة	UC
إليها	إليها	UC
في	في	UC
الإجازة	الإجازة	UC
الصيفية	الصيفية	UC
الماضية	الماضية	UC
وكانت	وكانت	UC
من	من	UC
أمتع	أمتع	UC
الرحلات	الرحلات	UC
اللتي	التي	REPLACE_OD
رحلت	رحت	REPLACE_OD
إليها	إليها	UC
وأفضلها	وأفضلها	UC
فبعد	فبعد	UC
أن	أن	UC
قررت	قررت	UC
الرحيل	الرحيل	UC
إليها	إليها	UC
اتصلت	اتصلت	UC
بمن	بمن	UC
فيها	فيها	UC
من	من	UC
سادة	سادة	UC
القوم	القوم	UC
وكبارهم	وكبارهم	UC
فسرو	فسروا	REPLACE_XC
وفرحو	وفرحوا	REPLACE_OW
لما	لما	UC
سمعو	سمعوا	REPLACE_OW
مني	مني	UC
ما	ما	UC
يسر	يسر	UC
أفئدتهم	أفئدتهم	UC
ولما	ولما	UC
طال	طال	UC
الالتقاء	من فراق	UNK
بيننا	بيننا	UC
لسبب	بسبب	REPLACE_MI
طلب	طلب	UC
العلم	العلم	UC
والسير	والسير	UC
في	في	UC
الأرض	الأرض	UC
لآجله	لأجله	REPLACE_OH
فاازددت	فازددت	REPLACE_OD
همة	همة	UC
في	في	UC
المسير	المسير	UC
لما	لما	UC
سمعت	سمعته	REPLACE_XM
أقداما	وإقداما	REPLACE_MI+REPLACE_OH
وحبا	ولحب	REPLACE_XC+REPLACE_XM
لآهل	أهل	REPLACE_MI+REPLACE_OH
القرية	القرية	UC
تجاهي	تجاهي	UC
فخرجت	فخرجت	UC
	إلى	INSERT_XM
	طريقي	INSERT_XM
في	في	UC
طريقي		DELETE_XM
الخامس	الخامس	UC
عشرة	عشر	REPLACE_XG
من	من	UC
رمضان	رمضان	UC
متجها	متجها	UC
إلى	إلى	UC
القرية	القرية	UC
فوصلت	فوصلت	UC
إليها	إليها	UC
في	في	UC
يومه	يومه	UC
فأكرموني	فأكرموني	UC
وطبوخو	وطبخوا	REPLACE_OD+REPLACE_OH+REPLACE_OM
لي	لي	UC
طعاما	طعاما	UC
شهيا	شهيا	UC
طاقت	تاق	REPLACE_OR+REPLACE_XG
إليه	إليه	UC
قلبي	قلبي	UC
قبل	قبل	UC
ذوقي	تذوقي	REPLACE_OM
	له	INSERT_XM
ثم	ثم	UC
قدموني	قدموني	UC
أماما	إماما	REPLACE_OH
فصليت	فصليت	UC
بهم	بهم	UC
الظهر	الظهر	UC
وقلت	ونمت	REPLACE_OR
بعدها	بعدها	UC
فلما	فلما	UC
استيقظت	استيقظت	UC
للعصر	العصر	REPLACE_XT
وصليت	وصليت	UC
جاؤوني	جاؤوني	UC
سائلين	سائلين	UC
عن	عن	UC
آهل	أهل	REPLACE_OH
المدينة	المدينة	UC
ومن	ومن	UC
تركتهم	تركتهم	UC
في	في	UC
المدينة	المدينة	UC
ثم	ثم	UC
سالوني	سألوني	REPLACE_OH
عن	عن	UC
السعودية	السعودية	UC
وآهلها	وأهلها	REPLACE_OH
وكيف	وكيف	UC
وجدتها	وجدتها	UC
ومن	ومن	UC
فيها	فيها	UC
فأجبتهم	فأجبتهم	UC
بما	بما	UC
تيسر	تيسر	UC
لي	لي	UC
أن	أن	UC
أجيبه	أجيبهم	REPLACE_MI
ثم	ثم	UC
عقدوا	عقدوا	UC
لي	لي	UC
مجلسا	مجلسا	UC
أدرس	أدرس	UC
فيه	فيه	UC
القرآن	القرآن	UC
وأعظ	واعظا	REPLACE_OH+REPLACE_XC
فيه	فيه	UC
الناس	الناس	UC
بما	بما	UC
تيسر	تيسر	UC
لي	لي	UC
وما	وبما	REPLACE_OM
تعلمته	تعلمته	UC
من	من	UC
العقيدة	العقيدة	UC
الصحيحة	الصحيحة	UC
من	من	UC
أساتذي	أساتذتي	REPLACE_OM
الفضلاء	الفضلاء	UC
فيقيت	فبقيت	REPLACE_OR
على	على	UC
هذا	هذا	UC
أكثر	أكثر	UC
من	من	UC
حين	حين	UC
لحت	حتى	REPLACE_SW
عدت	عدت	UC
إلى	إلى	UC
المدينة	المدينة	UC

أحب	أحب	UC
كلية	كلية	UC
أصول	أصول	UC
الدين	الدين	UC
الكلمة	كلمة	REPLACE_XF
أصول	أصول	UC
الدين	الدين	UC
يعني	تعني	REPLACE_MI
أصول	أصول	UC
الإسلام	الإسلام	UC
ولا	ولا	UC
بد	بد	UC
علينا	لنا	REPLACE_OD
أن	أن	UC
نعرف	نعرف	UC
عن	عن	UC
الدين	الدين	UC
والسنة	وسنة	REPLACE_XF
النبي	النبي	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
وهذه	وهذه	UC
الكلية	الكلية	UC
التي	التي	UC
أحب	أحب	UC
	أن	INSERT_XM
	أدرس	INSERT_XM
فيه	فيها	REPLACE_XG
لأنها	لأن فيها	REPLACE_X
العلم	علم	REPLACE_XF
أصول	الأصول	REPLACE_XF
بجميع	بجميع	UC
عن	أنواعه	REPLACE_SW
