SOURCE	TARGET
وسائل	وسائل	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
لها	لها	UC
أضرار	أضرار	UC
و فوائد	وفوائد	MERGE
كثيرة	كثيرة	UC
.	.	UC
ولكن	ولكن	UC
بأن	بان	REPLACE_OH
في	في	UC
الأوان	الآونة	REPLACE_XG
الأخيرة	الأخيرة	UC
أن	أن	UC
مضاره	مضارها	REPLACE_MI
أكبر	أكبر	UC
بكثير	بكثير	UC
من	من	UC
منافعه	منافعها	REPLACE_MI
.	.	UC
فإذا	فإذا	UC
نش	نشأ	REPLACE_OM
الطفل	الطفل	UC
و		DELETE_XM
هو بيده	وبيده	UNK
هاتفا	هاتف	REPLACE_XC
أو	أو	UC
جهاز	جهاز	UC
إلكترونيا	إلكتروني	REPLACE_XC
ستلاحظ	ستلاحظ	UC
عدم	عدم	UC
قدرته	قدرته	UC
على	على	UC
الاستجابة	الاستجابة	UC
بسرعة	بسرعة	UC
.	.	UC
و أيضا	وأيضا	MERGE
سوف	سوف	UC
تلاحظ	تلاحظ	UC
عدم	عدم	UC
قدرته	قدرته	UC
على	على	UC
التركيز	التركيز	UC
.	.	UC
و مضار	ومضار	MERGE
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
لم	لم	UC
يكتفي	تكتف	REPLACE_MI
بالأطفال	بالأطفال	UC
و المراهقين	والمراهقين	MERGE
فقط	فقط	UC
بل	بل	UC
على جميع	بجميع	UNK
الفئات	الفئات	UC
العمريهز	العمرية .	REPLACE_OD+REPLACE_OR+REPLACE_PM
فكم	فكم	UC
من	من	UC
شخص	شخص	UC
قد	قد	UC
رحل	رحل	UC
من	من	UC
هذيه	هذه	REPLACE_OD
الدنيا	الدنيا	UC
بسبب	بسبب	UC
حادث	حادث	UC
سيارة	سيارة	UC
	,	INSERT_PM
و سببه	وسببه	MERGE
الهاتف	الهاتف	UC
المتحرك	المتحرك	UC
ليتفقد	ليتفقد	UC
الشخص	الشخص	UC
صفحة	صفحة	UC
على	على	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
.	.	UC
أيضا	أيضا	UC
مقارنتا	مقارنة	REPLACE_XN
فس ماجلس	بمجالس	UNK
الشباب	الشباب	UC
سابقا	سابقا	UC
قبل	قبل	UC
ضهور	ظهور	REPLACE_OR
مواقع	مواقع	UC
التواصل	التواصل	UC
,	,	UC
لرئيت	لرأيت	REPLACE_OR
شباب	شبابا	REPLACE_XC
يضحكون	يضحكون	UC
مع	مع	UC
بعضهم	بعضهم	UC
أو	أو	UC
لربما	لربما	UC
يلعبون	يلعبون	UC
لعبتا	لعبة	REPLACE_XN
ما	ما	UC
,	,	UC
أما	أما	UC
الآن	الآن	UC
فترى	فترى	UC
شباب	شبابا	REPLACE_XC
جالسين	جالسين	UC
جمبهم	جنبهم	REPLACE_OR
الجمب	الجنب	REPLACE_OR
ولا	ولا	UC
يتكلمون	يتكلمون	UC
مع	مع	UC
بعضهم	بعضهم	UC
البعض	البعض	UC
و تراهم	وتراهم	MERGE
جميعا	جميعا	UC
على	على	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
.	.	UC
التواصل	التواصل	UC
