SOURCE	TARGET
وسائل	وسائل	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
لها	لها	UC
اضرار	أضرار	REPLACE_OH
و فوائد	وفوائد	MERGE
كثيرة	كثيرة	UC
ولكن	ولكن	UC
بان	بان	UC
في	في	UC
الأوان	الآونة	REPLACE_XG
الأخيره	الأخيرة	REPLACE_OT
ان	أن	REPLACE_OH
مضاره	مضارها	REPLACE_MI
اكبر	أكبر	REPLACE_OH
بكثير	بكثير	UC
من	من	UC
منافعه	منافعها	REPLACE_MI
فاذا	فإذا	REPLACE_OH
نش	نشأ	REPLACE_OM
الطفل	الطفل	UC
و		DELETE_XM
هو بيده	وبيده	UNK
هاتفا	هاتف	REPLACE_XC
او	أو	REPLACE_OH
جهاز	جهاز	UC
الكترونيا	إلكتروني	REPLACE_OH+REPLACE_XC
ستلاحظ	ستلاحظ	UC
عدم	عدم	UC
قدرته	قدرته	UC
على	على	UC
الاستجابه	الاستجابة	REPLACE_OT
بسرعه	بسرعة	REPLACE_OT
و ايضا	وأيضا	REPLACE_O
سوف	سوف	UC
تلاحظ	تلاحظ	UC
عدم	عدم	UC
قدرته	قدرته	UC
على	على	UC
التركيز	التركيز	UC
و مضار	ومضار	MERGE
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
لم	لم	UC
يكتفي	تكتف	REPLACE_MI
بالأطفال	بالأطفال	UC
و المراهقين	والمراهقين	MERGE
فقط	فقط	UC
بل	بل	UC
على جميع	بجميع	UNK
الفئات	الفئات	UC
العمريهز	العمرية	REPLACE_OD+REPLACE_OR
فكم	فكم	UC
من	من	UC
شخص	شخص	UC
قد	قد	UC
رحل	رحل	UC
من	من	UC
هذيه	هذه	REPLACE_OD
الدنيا	الدنيا	UC
بسبب	بسبب	UC
حادث	حادث	UC
سياره	سيارة	REPLACE_OT
و سببه	وسببه	MERGE
الهاتف	الهاتف	UC
المتحرك	المتحرك	UC
ليتفقد	ليتفقد	UC
الشخص	الشخص	UC
صفحة	صفحة	UC
على	على	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
ايضا	أيضا	REPLACE_OH
مقارنتا	مقارنة	REPLACE_XN
فس ماجلس	بمجالس	UNK
الشباب	الشباب	UC
سابقا	سابقا	UC
قبل	قبل	UC
ضهور	ظهور	REPLACE_OR
مواقع	مواقع	UC
التواصل	التواصل	UC
لرئيت	لرأيت	REPLACE_OR
شباب	شبابا	REPLACE_XC
يضحكون	يضحكون	UC
مع	مع	UC
بعضهم	بعضهم	UC
او	أو	REPLACE_OH
لربما	لربما	UC
يلعبون	يلعبون	UC
لعبتا	لعبة	REPLACE_XN
ما	ما	UC
اما	أما	REPLACE_OH
الان	الآن	REPLACE_OH
فترى	فترى	UC
شباب	شبابا	REPLACE_XC
جالسين	جالسين	UC
جمبهم	جنبهم	REPLACE_OR
الجمب	الجنب	REPLACE_OR
ولا	ولا	UC
يتكلمون	يتكلمون	UC
مع	مع	UC
بعضهم	بعضهم	UC
البعض	البعض	UC
و تراهم	وتراهم	MERGE
جميعا	جميعا	UC
على	على	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
التواصل	التواصل	UC
