Document	Raw	Corrected	Operation
AR-030-268469	وسائل	وسائل	NO_CHANGE
AR-030-268469	التواصل	التواصل	NO_CHANGE
AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-268469	لها	لها	NO_CHANGE
AR-030-268469	اضرار	أضرار	EDIT
AR-030-268469	و		DELETE
AR-030-268469	فوائد	وفوائد	EDIT
AR-030-268469	كثيرة.	كثيرة.	NO_CHANGE
AR-030-268469	ولكن	ولكن	NO_CHANGE
AR-030-268469	بان	بان	NO_CHANGE
AR-030-268469	في	في	NO_CHANGE
AR-030-268469	الأوان	الآونة	EDIT
AR-030-268469	الأخيره	الأخيرة	EDIT
AR-030-268469	ان	أن	EDIT
AR-030-268469	مضاره	مضارها	EDIT
AR-030-268469	اكبر	أكبر	EDIT
AR-030-268469	بكثير	بكثير	NO_CHANGE
AR-030-268469	من	من	NO_CHANGE
AR-030-268469	منافعه.	منافعها.	EDIT
AR-030-268469	فاذا	فإذا	EDIT
AR-030-268469	نش	نشأ	EDIT
AR-030-268469	الطفل	الطفل	NO_CHANGE
AR-030-268469	و		DELETE
AR-030-268469	هو		DELETE
AR-030-268469	بيده	وبيده	EDIT
AR-030-268469	هاتفا	هاتف	EDIT
AR-030-268469	او	أو	EDIT
AR-030-268469	جهاز	جهاز	NO_CHANGE
AR-030-268469	الكترونيا	إلكتروني	EDIT
AR-030-268469	ستلاحظ	ستلاحظ	NO_CHANGE
AR-030-268469	عدم	عدم	NO_CHANGE
AR-030-268469	قدرته	قدرته	NO_CHANGE
AR-030-268469	على	على	NO_CHANGE
AR-030-268469	الاستجابه	الاستجابة	EDIT
AR-030-268469	بسرعه.	بسرعة.	EDIT
AR-030-268469	و		DELETE
AR-030-268469	ايضا	وأيضا	EDIT
AR-030-268469	سوف	سوف	NO_CHANGE
AR-030-268469	تلاحظ	تلاحظ	NO_CHANGE
AR-030-268469	عدم	عدم	NO_CHANGE
AR-030-268469	قدرته	قدرته	NO_CHANGE
AR-030-268469	على	على	NO_CHANGE
