Document	Raw	Corrected	Operation
EN-140-116710	Developements	Developments	EDIT
EN-140-116710	in	in	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	UAE	UAE,	EDIT
EN-140-116710	Located	located	EDIT
EN-140-116710	in	in	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	middle	Middle	EDIT
EN-140-116710	east,	East:	EDIT
EN-140-116710	a	a	NO_CHANGE
EN-140-116710	very	very	NO_CHANGE
EN-140-116710	calm	calm	NO_CHANGE
EN-140-116710	yet	yet	NO_CHANGE
EN-140-116710	geographic	geographic	NO_CHANGE
EN-140-116710	country	country	NO_CHANGE
EN-140-116710	known	known	NO_CHANGE
EN-140-116710	as	as	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	United	United	NO_CHANGE
EN-140-116710	Arab	Arab	NO_CHANGE
EN-140-116710	Emirates.	Emirates	EDIT
EN-140-116710	The	The	NO_CHANGE
EN-140-116710	UAE	UAE	NO_CHANGE
EN-140-116710	has	has	NO_CHANGE
EN-140-116710	a	a	NO_CHANGE
EN-140-116710	desert	desert	NO_CHANGE
EN-140-116710	climate	climate,	EDIT
EN-140-116710	in		DELETE
EN-140-116710	which	where	EDIT
EN-140-116710	its	it's	EDIT
EN-140-116710	sometimes	sometimes	NO_CHANGE
EN-140-116710	pleasantly	pleasantly	NO_CHANGE
EN-140-116710	cold	cold	NO_CHANGE
EN-140-116710	when	when	NO_CHANGE
EN-140-116710	it	it	NO_CHANGE
EN-140-116710	is	is	NO_CHANGE
EN-140-116710	winter	wintertime,	EDIT
EN-140-116710	time		DELETE
EN-140-116710	and	and	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	weather	weather	NO_CHANGE
EN-140-116710	gets	gets	NO_CHANGE
EN-140-116710	really	really	NO_CHANGE
EN-140-116710	hot	hot	NO_CHANGE
EN-140-116710	when	when	NO_CHANGE
EN-140-116710	it	it	NO_CHANGE
EN-140-116710	is	is	NO_CHANGE
EN-140-116710	summer,	summer;	EDIT
EN-140-116710	it	it	NO_CHANGE
EN-140-116710	is	is	NO_CHANGE
EN-140-116710	sometimes	sometimes	NO_CHANGE
EN-140-116710	sunny	sunny	NO_CHANGE
EN-140-116710	and	and	NO_CHANGE
EN-140-116710	sometimes	sometimes	NO_CHANGE
EN-140-116710	humid.	humid.	NO_CHANGE
EN-140-116710	Nearby	Nearby	NO_CHANGE
EN-140-116710	countries	countries	NO_CHANGE
EN-140-116710	make	make	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	heat	heat	NO_CHANGE
EN-140-116710	unbearable	unbearable	NO_CHANGE
EN-140-116710	according	according	NO_CHANGE
EN-140-116710	to	to	NO_CHANGE
EN-140-116710	their	their	NO_CHANGE
EN-140-116710	weather.	weather.	NO_CHANGE
EN-140-116710	Rains	Rains	NO_CHANGE
EN-140-116710	make	make	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	citizens	citizens	NO_CHANGE
EN-140-116710	of	of	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	UAE	UAE	NO_CHANGE
EN-140-116710	happy	happy	NO_CHANGE
EN-140-116710	becuse	because	EDIT
EN-140-116710	it	it	NO_CHANGE
EN-140-116710	is	is	NO_CHANGE
EN-140-116710	rare	rare	NO_CHANGE
EN-140-116710	to	to	NO_CHANGE
EN-140-116710	rain	rain	NO_CHANGE
EN-140-116710	after	after	NO_CHANGE
EN-140-116710	a	a	NO_CHANGE
EN-140-116710	hot	hot	NO_CHANGE
EN-140-116710	season.	season.	NO_CHANGE
EN-140-116710	However,	However,	NO_CHANGE
EN-140-116710	rain	rain	NO_CHANGE
EN-140-116710	comes	comes	NO_CHANGE
EN-140-116710	in	in	NO_CHANGE
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	form	form	NO_CHANGE
EN-140-116710	of	of	NO_CHANGE
EN-140-116710	showers	showers	NO_CHANGE
EN-140-116710	or/and	or/and	NO_CHANGE
EN-140-116710	downpours.	downpours.	NO_CHANGE
EN-140-116710	The	The	NO_CHANGE
EN-140-116710	UAE	UAE	NO_CHANGE
EN-140-116710	promotes	promotes	NO_CHANGE
EN-140-116710	happiness	happiness,	EDIT
EN-140-116710	in		DELETE
EN-140-116710	which	where	EDIT
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	government's	government's	NO_CHANGE
EN-140-116710	goal	goal	NO_CHANGE
EN-140-116710	is	is	NO_CHANGE
EN-140-116710	to	to	NO_CHANGE
EN-140-116710	spread	spread	NO_CHANGE
EN-140-116710	positivity	positivity	NO_CHANGE
EN-140-116710	and	and	NO_CHANGE
EN-140-116710	joy	joy	NO_CHANGE
EN-140-116710	in		DELETE
EN-140-116710	within	to	EDIT
EN-140-116710	the	the	NO_CHANGE
EN-140-116710	citizens	citizens,	EDIT
