writer_id	course	gender	school_language	school_type	topic	CEFR
268469	ARA-030	Male	English	Private	Social Media	B1	
386369	ARA-030	Male	Arabic	Government	Social Media	B2	
81027	ARA-030	Female	English	Government	Social Media	A2	
81757	ARA-030	Female	Arabic	Government	Social Media	B2	
83625	ARA-030	Female	English	Private	Social Media	Unassessable	
85891	ARA-030	Female	Arabic	Government	Social Media	A2	
87953	ARA-030	Female	English	Private	Tolerance	B1	
89249	ARA-030	Female	English	Private	Tolerance	B1	
89881	ARA-030	Female	English	Private	Social Media	B1	
90528	ARA-030	Female	English	Government	Social Media	A2	
92524	ARA-030	Female	Arabic	Government	Tolerance	B1	
92800	ARA-030	Female	English	Government	Tolerance	B1	
93360	ARA-030	Female	Arabic	Government	Tolerance	B2	
96339	ARA-030	Female	English	Private	Social Media	B1	
96683	ARA-030	Female	English	Government	Social Media	B1	
97791	ARA-030	Female	English	Government	Development	B1	
119813	ARA-130	Female	Arabic	Government	Social Media	A2	
119831	ARA-130	Female	Arabic	Government	Tolerance	Unassessable	
121991965	ARA-130	Female	Arabic	Government	Social Media	B1	
165859	ARA-130	Female	Arabic	Government	Social Media	B2	
165949	ARA-130	Female	Arabic	Government	Tolerance	B1	
168718	ARA-130	Female	Arabic	Government	Social Media	B2	
186196	ARA-130	Female	Arabic	Government	Social Media	B1	
187968	ARA-130	Female	Arabic	Government	Social Media	B1	
188359	ARA-130	Female	Arabic	Government	Social Media	B1	
188826	ARA-130	Female	English	Government	Social Media	B2	
188847	ARA-130	Female	Arabic	Government	Social Media	B1	
188945	ARA-130	Female	English	Private	Social Media	A2	
189349	ARA-130	Female	Arabic	Government	Social Media	B2	
189525	ARA-130	Female	Arabic	Government	Social Media	B1	
189611	ARA-130	Female	Arabic	Government	Social Media	B1	
189750	ARA-130	Female	English	Government	Social Media	B1	
189799	ARA-130	Female	Arabic	Government	Tolerance	B1	
189921	ARA-130	Female	Arabic	Government	Social Media	B1	
190122	ARA-130	Female	English	Government	Social Media	B1	
190307	ARA-130	Female	Arabic	Government	Development	B1	
190317	ARA-130	Female	English	Private	Social Media	B1	
190447	ARA-130	Female	Arabic	Government	Social Media	C1	
190745	ARA-130	Female	English	Government	Tolerance	B1	
190808	ARA-130	Female	Arabic	Government	Social Media	B1	
190855	ARA-130	Female	Arabic	Government	Social Media	B2	
190863	ARA-130	Female	Arabic	Government	Social Media	B1	
191075	ARA-130	Female	Arabic	Government	Social Media	B1	
191088	ARA-130	Female	Arabic	Government	Social Media	B1	
191115	ARA-130	Female	English	Government	Social Media	B1	
191242	ARA-130	Female	Arabic	Government	Social Media	B2	
191743	ARA-130	Female	Arabic	Government	Social Media	B1	
191794	ARA-130	Female	Arabic	Government	Social Media	B2	
191809	ARA-130	Female	Arabic	Government	Social Media	B1	
191850	ARA-130	Female	Arabic	Private	Social Media	B1	
192155	ARA-130	Female	Arabic	Government	Social Media	B1	
192218	ARA-130	Female	Arabic	Government	Social Media	B1	
