writer_id	course	gender	school_language	school_type	topic	CEFR
116710	GEN-140	Female	English	Private	Tolerance	B1	
117417	GEN-140	Female	Arabic	Government	Social Media	A2	
119150	GEN-140	Female	English	Government	Social Media	A2	
119813	GEN-140	Female	Arabic	Government	Social Media	A2	
119831	GEN-140	Female	Arabic	Government	Social Media	A2	
121991844	GEN-140	Female	Korean	Korean High School 	Social Media	B1	
121991965	GEN-140	Female	Arabic	Government	Social Media	B1	
165859	GEN-140	Female	Arabic	Government	Social Media	A2	
165866	GEN-140	Male	Arabic	Government	Tolerance	B1	
165904	GEN-140	Female	Arabic	Government	Social Media	B1	
165949	GEN-140	Female	Arabic	Government	Social Media	B1	
166095	GEN-140	Male	English	Private	Development	A2	
166122	GEN-140	Male	English	Private	Social Media	B1	
168692	GEN-140	Female	Arabic	Government	Social Media	B1	
168718	GEN-140	Female	Arabic	Government	Social Media	A2	
168839	GEN-140	Female	English	Private	Social Media	B1	
186196	GEN-140	Female	Arabic	Government	Social Media	B1	
186798	GEN-140	Female	English	Private	Development	A2	
186984	GEN-140	Female	English	Private	Social Media	B1	
187556	GEN-140	Male	English	Government	Social Media	B2	
187968	GEN-140	Female	Arabic	Government	Development	A2	
188826	GEN-140	Female	English	Government	Social Media	A2	
188847	GEN-140	Female	Arabic	Government	Social Media	A1	
188945	GEN-140	Female	English	Private	Social Media	A2	
189349	GEN-140	Female	Arabic	Government	Social Media	A1	
189441	GEN-140	Female	Arabic	Government	Development	A2	
189442	GEN-140	Female	Arabic	Government	Social Media	A2	
189525	GEN-140	Female	Arabic	Government	Social Media	A2	
189750	GEN-140	Female	English	Government	Social Media	B1	
189799	GEN-140	Female	Arabic	Government	Social Media	A2	
189921	GEN-140	Female	Arabic	Government	Social Media	A2	
190122	GEN-140	Female	English	Government	Social Media	A2	
190176	GEN-140	Female	English	Private	Social Media	B1	
190307	GEN-140	Female	Arabic	Government	Development	A2	
190317	GEN-140	Female	English	Private	Social Media	A2	
190447	GEN-140	Female	Arabic	Government	Social Media	A2	
190499	GEN-140	Female	Arabic	Private	Social Media	B1	
190706	GEN-140	Female	Arabic	Government	Social Media	B1	
190745	GEN-140	Female	English	Government	Development	A1	
190808	GEN-140	Female	Arabic	Government	Social Media	B1	
190855	GEN-140	Female	Arabic	Government	Social Media	A2	
190863	GEN-140	Female	Arabic	Government	Social Media	A2	
191006	GEN-140	Female	Arabic	Government	Development	A2	
191075	GEN-140	Female	Arabic	Government	Development	A2	
191088	GEN-140	Female	Arabic	Government	Social Media	B1	
191115	GEN-140	Female	English	Government	Development	A2	
191242	GEN-140	Female	Arabic	Government	Social Media	A2	
191515	GEN-140	Female	Arabic	Government	Social Media	A2	
191587	GEN-140	Female	Arabic	Government	Social Media	A2	
191743	GEN-140	Female	Arabic	Government	Social Media	A2	
191794	GEN-140	Female	Arabic	Government	Social Media	B1	
191850	GEN-140	Female	Arabic	Private	Social Media	A2	
191859	GEN-140	Female	English	Government	Social Media	A2	
191937	GEN-140	Female	Arabic	Government	Development	A2	
192155	GEN-140	Female	Arabic	Government	Social Media	A2	
192171	GEN-140	Female	Arabic	Government	Social Media	A2	
192218	GEN-140	Female	Arabic	Government	Social Media	A1	
192387	GEN-140	Female	Arabic	Government	Development	A2	
192397	GEN-140	Female	Arabic	Government	Social Media	A2	
192469	GEN-140	Female	Arabic	Government	Social Media	A2	
192479	GEN-140	Female	English	Government	Development	A2	
192490	GEN-140	Female	Arabic	Government	Social Media	A2	
192528	GEN-140	Female	Arabic	Government	Social Media	A2	
192572	GEN-140	Female	Arabic	Private	Social Media	B1	
192582	GEN-140	Female	English	Government	Social Media	A2	
192586	GEN-140	Female	Arabic	Government	Development	A2	
192654	GEN-140	Female	Arabic	Government	Social Media	B1	
192696	GEN-140	Female	Arabic	Government	Social Media	A2	
192707	GEN-140	Female	Arabic	Government	Social Media	A2	
192747	GEN-140	Female	English	Government	Social Media	A2	
192751	GEN-140	Female	Arabic	Government	Development	A2	
192922	GEN-140	Female	Arabic	Government	Social Media	B1	
192949	GEN-140	Female	Arabic	Government	Social Media	B1	
193035	GEN-140	Female	Arabic	Government	Social Media	A2	
193363	GEN-140	Female	Arabic	Government	Social Media	B1	
193451	GEN-140	Female	Arabic	Government	Social Media	A2	
193838	GEN-140	Female	Arabic	Government	Development	A1	
194149	GEN-140	Female	Arabic	Government	Social Media	A2	
194389	GEN-140	Female	Arabic	Government	Social Media	A2	
194708	GEN-140	Female	Arabic	Government	Social Media	A2	
194718	GEN-140	Female	Arabic	Government	Social Media	A2	
195100	GEN-140	Female	Arabic	Government	Development	A2	
19632	GEN-140	Female	Arabic	Private	Social Media	B1	
196776	GEN-140	Female	Arabic	Government	Social Media	A2	
196987	GEN-140	Male	English	Private	Social Media	B1	
19701	GEN-140	Male	English	Private	Social Media	B1	
197553	GEN-140	Female	Arabic	Government	Social Media	B1	
197835	GEN-140	Female	English	Government	Social Media	B1	
197898	GEN-140	Female	Arabic	Government	Development	B1	
19791	GEN-140	Male	English	Private	Social Media	B1	
198249	GEN-140	Female	Arabic	Government	Social Media	A2	
19883	GEN-140	Female	Arabic	Government	Social Media	B1	
199101	GEN-140	Female	Arabic	Government	Social Media	A2	
19921	GEN-140	Female	0	0	Social Media	B1	
199634	GEN-140	Female	English	Government	Social Media	A2	
199747	GEN-140	Female	Arabic	Government	Development	B1	
199818	GEN-140	Female	Arabic	Government	Social Media	B1	
199951	GEN-140	Female	Arabic	Government	Social Media	A2	
219833	GEN-140	Male	Arabic	Government	Social Media	A2	
268469	GEN-140	Male	English	Private	Social Media	B2	
268819	GEN-140	Male	Arabic	Government	Development	A2	
273084	GEN-140	Female	English	Private	Social Media	B2	
278582	GEN-140	Male	Arabic	Government	Social Media	A2	
284475	GEN-140	Male	Arabic	Government	Development	A2	
286381	GEN-140	Male	0	0	Development	A2	
287259	GEN-140	Male	Arabic	Government	Social Media	A2	
287810	GEN-140	Male	Arabic	Government	Development	A1	
287997	GEN-140	Male	Arabic	Government	Social Media	A2	
288097	GEN-140	Male	Arabic	Government	Social Media	A2	
288874	GEN-140	Male	Arabic	Government	Social Media	A2	
288992	GEN-140	Male	Arabic	Government	Social Media	A2	
289073	GEN-140	Male	Arabic	Government	Social Media	A2	
289115	GEN-140	Male	Arabic	Government	Social Media	A2	
289903	GEN-140	Male	English	Government	Development	A2	
290218	GEN-140	Male	English	Private	Social Media	B1	
290717	GEN-140	Male	English	Government	Social Media	A2	
