SOURCE	TARGET
سبحان	سبحان	UC
الله	الله	UC
	،	INSERT_PM
الحكام	الحكام	UC
العرب	العرب	UC
سيموت	سيموت	UC
على	على	UC
الكرسي	الكرسي	UC
ليضهر	ليظهر	REPLACE_OR
أنه	أنه	UC
عنيد	عنيد	UC
وقوي	وقوي	UC
،	.	REPLACE_PC
لوكان	لو كان	SPLIT
بشار	بشار	UC
يحب	يحب	UC
أرضه	أرضه	UC
أو	أو	UC
شعبه	شعبه	UC
لخرج	لخرج	UC
من	من	UC
الحكم	الحكم	UC
شفقة	شفقة	UC
ورحمة	ورحمة	UC
ببلد	ببلد	UC
ضاع	ضاع	UC
،	.	REPLACE_PC
هنا	هنا	UC
زال	زال	UC
قناع	قناع	UC
هذا	هذا	UC
الرئيس	الرئيس	UC
اللذي	الذي	REPLACE_OD
خيب	خيب	UC
ظن	ظن	UC
شعبه	شعبه	UC
والشعوب	والشعوب	UC
المسلمة	المسلمة	UC
،	،	UC
كل	كل	UC
مال	مال	UC
السورين	السورين	UC
نفق	نفق	UC
في	في	UC
شراء	شراء	UC
سلاح	سلاح	UC
ليقتل	ليقتل	UC
به	به	UC
،	،	UC
شتانا	شتانا	UC
وحكام	وحكام	UC
أوربا	أوربا	UC
الذين	الذين	UC
يتركون	يتركون	UC
الكرسي	الكرسي	UC
لمجرد	لمجرد	UC
فتنة	فتنة	UC
بسيطة	بسيطة	UC
لحبهم	لحبهم	UC
لبلدهم	لبلدهم	UC
	.	INSERT_PM

النصر	النصر	UC
آت	آت	UC
لا	لا	UC
محال	محال	UC
انشاء	إن شاء	REPLACE_S
الله	الله	UC
من	من	UC
يؤمن	يؤمن	UC
بالله	بالله	UC
واليوم	واليوم	UC
الآخر	الآخر	UC
.	،	REPLACE_PC
والمطلع	والمطلع	UC
على	على	UC
قصص	قصص	UC
الانبياء	الأنبياء	REPLACE_OH
يرى	يرى	UC
ان	أن	REPLACE_OH
النصر	النصر	UC
من	من	UC
الله	الله	UC
وعلامات	وعلامات	UC
ألقيامه	القيامة	REPLACE_OH+REPLACE_OT
آتيه	آتية	REPLACE_OT
في	في	UC
تسلسل	تسلسل	UC
عجيب	عجيب	UC
.	.	UC
إن	إن	UC
تنصر	تنصروا	REPLACE_XN
الله	الله	UC
ينصركم	ينصركم	UC
لا	لا	UC
رجوع	رجوع	UC
انما	إنما	REPLACE_OH
التغيير	التغيير	UC
آت	آت	UC
ليس	ليس	UC
من	من	UC
الرءساء	الرؤساء	REPLACE_OR
أنما	أنما	UC
من	من	UC
فوق	فوق	UC
سابع	سابع	UC
سماء	سماء	UC
	.	INSERT_PM

الى	إلى	REPLACE_OH
كل	كل	UC
شخص	شخص	UC
يعتقد	يعتقد	UC
ان	أن	REPLACE_OH
بشار	بشار	UC
الاسد	الأسد	REPLACE_OH
سوف	سوف	UC
يخرج	يخرج	UC
من	من	UC
سوريا	سوريا	UC
بدون	بدون	UC
محكمه	محكمه	UC
	،	INSERT_PM
فهوا	فهو	REPLACE_OD+REPLACE_OG
وهم	وهم	UC
	.	INSERT_PM
ان	إن	REPLACE_OH
بشار	بشار	UC
الاسد	الأسد	REPLACE_OH
قتل	قتل	UC
الشعب	الشعب	UC
سوري	سوري	UC
	.	INSERT_PM
واقول	وأقول	REPLACE_OH
لكل	لكل	UC
شحص		DELETE_XM
سوري	سوري	UC
او	أو	REPLACE_OH
غير	غير	UC
سوري	سوري	UC
	:	INSERT_PM
ان	إن	REPLACE_OH
بشار	بشار	UC
وطغمتهو	وطغمته	REPLACE_OD+REPLACE_OG
عثو	عث	REPLACE_OD+REPLACE_OG
فساد	فسادا	REPLACE_XC
في	في	UC
سوريا	سوريا	UC
48	48	UC
عام	عاما	REPLACE_XC
	.	INSERT_PM
يكفي	يكفي	UC
ولاسلام	والإسلام	REPLACE_OH+REPLACE_OM
اي	أي	REPLACE_OH
الاسد	الأسد	REPLACE_OH
حكمات	حكم	REPLACE_OD+REPLACE_XG
فافنيت	فأفنيت	REPLACE_OH
بلاد	بلاد	UC
وخيران	وخيرا .	REPLACE_MI+REPLACE_PM
اقول	أقول	REPLACE_OH
لكل	لكل	UC
شخص	شخص	UC
من	من	UC
الامن	الأمن	REPLACE_OH
وجيش	وجيش	UC
	:	INSERT_PM
اتقي	اتق	REPLACE_OD+REPLACE_OG
لله	الله	REPLACE_OH+REPLACE_OM
في	في	UC
الشعب	الشعب	UC
سوري	سوري	UC
البطل	البطل	UC
	.	INSERT_PM

الأسد	الأسد	UC
وعصابته	وعصابته	UC
لحد	لحد	UC
الآن	الآن	UC
غير	غير	UC
مستوعبين	مستوعبين	UC
إن و	أنه	UNK
رح	رح	UC
ينقلعوا	ينقلعوا	UC
من	من	UC
فوق	فوق	UC
رقاب	رقاب	UC
الشعب	الشعب	UC
السوري	السوري	UC
.	.	UC
.	.	UC
.	.	UC
يعني	يعني	UC
لس	لس	UC
ع	ع	UC
راكبه	راكبة	REPLACE_OT
براسون	براسون	UC
إنو	أن	REPLACE_SW
هالشعب	هذا الشعب	REPLACE_X
قطيع	قطيع	UC
غنم	غنم	UC
مابيحل	ما يحل	REPLACE_X
ولا	ولا	UC
بيربط	يربط	REPLACE_OD
ونهايتو	ونهايته	REPLACE_OR
الدبح	الدبح	UC
!	!	UC
تماما	تماما	UC
كالقذافي	كالقذافي	UC
ومن	ومن	UC
أثر	أثر	UC
الصدمة	الصدمة	UC
بدأت	بدأت	UC
التصر فات	الهجمات	UNK
العنيفة	العنيفة	UC
بالقتل	بالقتل	UC
	،	INSERT_PM
والإعتقال	والاعتقال	REPLACE_OH
	،	INSERT_PM
والتعذيب	والتعذيب	UC
.	.	UC
.	.	UC
أعتقد	أعتقد	UC
بأن	بأن	UC
الكثيرين	الكثيرين	UC
سوف	سوف	UC
لن	لن	UC
يفيقوا	يفيقوا	UC
من	من	UC
الصدمة	الصدمة	UC
أبدا	أبدا	UC
لأنهم	لأنهم	UC
سيلحقوا	سيلحقوا	UC
بشهائنا	بأرواحنا	REPLACE_SW
بإذن	بإذن	UC
الرب	الرب	UC
.	.	UC

النظام	النظام	UC
الأسدي	الأسدي	UC
تجاوز	تجاوز	UC
حتى	حتى	UC
ما	ما	UC
فعله	فعله	UC
معمر	معمر	UC
القذافي	القذافي	UC
في	في	UC
ليبيا	ليبيا	UC
؛	؛	UC
فهناك	فهناك	UC
كانت	كانت	UC
المعركة	المعركة	UC
مختلفة	مختلفة	UC
؛	،	REPLACE_PC
حيث	حيث	UC
وقعت	وقعت	UC
بين	بين	UC
طرفين	طرفين	UC
:	:	UC
نظام	نظام	UC
العقيد	العقيد	UC
والثوار	والثوار	UC
،	،	UC
وكلاهما	وكلاهما	UC
يحمل	يحمل	UC
السلاح	السلاح	UC
بوجه	بوجه	UC
الآخر	الآخر	UC
:	:	UC
الدبابة	الدبابة	UC
مقابل	مقابل	UC
الدبابة	الدبابة	UC
،	،	UC
والرشاش	والرشاش	UC
مقابل	مقابل	UC
الرشاش	الرشاش	UC
.	.	UC
.	.	UC
بينما	بينما	UC
العكس	العكس	UC
تماما	تماما	UC
في	في	UC
سوريا	سوريا	UC
؛	،	REPLACE_PC
حيث	حيث	UC
إن	إن	UC
النظام	النظام	UC
الأسدي	الأسدى	REPLACE_OA
هو	هو	UC
من	من	UC
يحمل	يحمل	UC
السلاح	السلاح	UC
،	،	UC
وهو	وهو	UC
من	من	UC
يعربد	يعربد	UC
به	به	UC
،	،	UC
بينما	بينما	UC
الثوار	الثوار	UC
السوريون	السوريون	UC
مسالمون	مسالمون	UC
	.	INSERT_PM

سوريا	سوريا	UC
أما	إما	REPLACE_OH
للسوريين	للسوريين	UC
أو	أو	UC
لبشار	لبشار	UC
وعصابته	وعصابته	UC
	.	INSERT_PM
لن	لن	UC
تنتهي	تنتهي	UC
هذه	هذه	UC
الثوره	الثورة	REPLACE_OT
الا	إلا	REPLACE_OH
بأن	بأن	UC
تبقى	تبقى	UC
سوريا	سوريا	UC
حرة	حرة	UC
	،	INSERT_PM
ليس	ليس	UC
فيها	فيها	UC
مكانا	مكانا	UC
لقتلة	لقتلة	UC
الاطفال	الأطفال	REPLACE_OH
والنساء	والنساء	UC
	.	INSERT_PM
